Gilead,Marilynne Robinson,Fiction,2004
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,2000
The One Tree,Stephen R. Donaldson,American fiction,1982
Rage of angels,Sidney Sheldon,Fiction,1993
The Four Loves,Clive Staples Lewis,Christian life,2002
The Problem of Pain,Clive Staples Lewis,Christian life,2002
An Autobiography,Agatha Christie,"Authors, English",1977
Empires of the Monsoon,Richard Hall,"Africa, East",1998
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994
Master of the Game,Sidney Sheldon,Adventure stories,1982
If Tomorrow Comes,Sidney Sheldon,Adventure stories,1994
Assassin's Apprentice,Robin Hobb,American fiction,1996
Warhost of Vastmark,Janny Wurts,Fiction,1995
The Once and Future King,Terence Hanbury White,Arthurian romances,1996
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003
Well of Darkness,Margaret Weis;Tracy Hickman,,2001
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,1995
The Little House,Philippa Gregory,Country life,1998
Mystical Paths,Susan Howatch,English fiction,1996
Glittering Images,Susan Howatch,English fiction,1996
Glamorous Powers,Susan Howatch,Clergy,1996
The Mad Ship,Robin Hobb,Fantasy fiction,2000
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996
The Reverse of the Medal,Patrick O'Brian,Adventure stories,1997
Miss Marple,Agatha Christie,"Detective and mystery stories, English",1997
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,2003
Spares,Michael Marshall Smith,Human cloning,1998
Gravity,Tess Gerritsen,Science fiction,2004
The Wise Woman,Philippa Gregory,Great Britain,2002
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000
The White Album,Joan Didion,American essays,1993
The Bonesetter's Daughter,Amy Tan,China,2001
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,2000
'Tis,Frank McCourt,Ireland,2000
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,2002
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",2000
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,2000
Koko,Peter Straub,Male friendship,2001
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,2001
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",2001
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,2001
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,2003
All Families are Psychotic,Douglas Coupland,Dysfunctional families,2002
Death in the Clouds,Agatha Christie,Detective and mystery stories,2001
Appointment with Death,Agatha Christie,Detective and mystery stories,2001
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",2001
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,2001
The Big Four,Agatha Christie,Detective and mystery stories,2002
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",2002
They Do it with Mirrors,Agatha Christie,American fiction,2002
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",2002
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",2002
Mrs McGinty's Dead,Agatha Christie,Belgians,2002
Taken at the Flood,Agatha Christie,Fiction,2002
The Hollow,Agatha Christie,Detective and mystery stories,2002
Third Girl,Agatha Christie,Belgians,2002
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",2001
The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",2001
The Metaphysical Club,Louis Menand,Cambridge (Mass.),2002
The illustrated man,Ray Bradbury,Fiction,2002
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,2002
Cut,Patricia McCormick,Emotional problems,2002
The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,2004
The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English",2002
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",2002
Lirael,Garth Nix,Fantasy fiction,2004
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",2002
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,2004
The Yiddish Policemen's Union,Michael Chabon,Fiction,2007
"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,2003
The Family Way,Tony Parsons,Parenthood,2005
Endless Night,Agatha Christie,FICTION,2002
How to be Alone,Jonathan Franzen,Literary Collections,2004
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,2003
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,2003
The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,2004
I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",2003
"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,2003
If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",2003
The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",2003
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,2004
I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,2004
Oh Say Can You Say?,Dr. Seuss,Children's stories,2004
There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,2004
Microserfs,Douglas Coupland,Computer programmers,2004
Miss Wyoming,Douglas Coupland,Actors,2004
Where Rainbows End,Cecelia Ahern,Friendship,2004
Poirot,Agatha Christie,Authors,2005
The Art of The Lord of the Rings,Gary Russell,Costume,2004
The Known World,Edward P. Jones,African American plantation owners,2004
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,2004
Naked Lunch,William S. Burroughs,Alienation (Social psychology),2005
Tropic of Cancer,Henry Miller,Fiction,2005
Close Range,Annie Proulx,Cowboys,2006
The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,1994
The Song of Rhiannon,Evangeline Walton,Fiction,1992
Heart Songs and Other Stories,Annie Proulx,Fiction,1995
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,1970
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,1978
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,1982
Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,1953
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979
The Presocratics,Philip Wheelwright,Philosophy,1966
Spandau,Albert Speer,History,1976
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",1971
The Journey with Grandmother,Edith Unnerstad,Grandmothers,1960
Tyranny of the Majority,Lani Guinier,History,1995
The Origins of the Civil Rights Movement,Aldon D. Morris,History,1986
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,1991
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,2000
Poppy's Return,Avi,Juvenile Fiction,2006
Diary of a Spider,Doreen Cronin,Juvenile Fiction,2005
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005
The Paradox of Choice,Barry Schwartz,Business & Economics,2005
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,2003
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001
The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004
Going Postal,Terry Pratchett,Fiction,2004
Modern Mind,Peter Watson,Science,2002
She Went All the Way,Meg Cabot,Fiction,2002
Island,Aldous Huxley,Fiction,1962
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,2006
